Description,Vendor_Name,Created,Invoice_Date,Due_Date,Amount,Settled,Outstanding,Number_of_Days_until_Payment
Stationery ,Eric Fitzgerald,20-02-2013 18:57,20-Feb-13,27-Feb-13,201.98,201.98,0.0,3
,Ashley Washington,21-02-2013 15:00,21-Feb-13,27-Feb-13,121.98,121.98,0.0,29
,Alexander Khan,21-02-2013 17:53,21-Feb-13,23-Mar-13,841.98,841.98,0.0,61
Food,Amanda Gonzalez,04-03-2013 14:04,04-Mar-13,11-Mar-13,67.71,67.71,0.0,16
Trunking for new office,Brittany Duffy,05-03-2013 13:27,05-Mar-13,04-Apr-13,442.52,442.52,0.0,58
,Michelle Heath,14-03-2013 11:54,14-Mar-13,13-Apr-13,211.98,211.98,0.0,28
,Kellie Mcdaniel,14-03-2013 17:18,14-Mar-13,22-Mar-13,368.58,368.58,0.0,52
,David Johnson,15-03-2013 16:09,15-Mar-13,22-Mar-13,618.3,618.3,0.0,50
,Kellie Mcdaniel,20-03-2013 10:37,20-Mar-13,29-Mar-13,354.78,354.78,0.0,46
Travel to customer,Christina Summers,21-03-2013 14:42,21-Mar-13,20-Apr-13,241.98,241.98,0.0,84
Travel to Customer,Michael Montgomery,22-03-2013 11:15,22-Mar-13,29-Mar-13,30993.18,30993.18,0.0,33
,Colleen Sparks,25-03-2013 14:32,23-Mar-13,06-Apr-13,31.98,31.98,0.0,4
,Paige Garcia,27-03-2013 14:31,27-Mar-13,29-Mar-13,497.56,497.56,0.0,38
,David Johnson,27-03-2013 16:06,27-Mar-13,29-Mar-13,528.25,528.25,0.0,38
,Alexa Huber,28-03-2013 08:22,28-Mar-13,27-Apr-13,1648.98,1648.98,0.0,27
,Rhonda Walker,28-03-2013 08:38,28-Mar-13,05-Apr-13,77.37,77.37,0.0,46
meterage copy costs,David Johnson,28-03-2013 10:51,28-Mar-13,05-Apr-13,115.38,115.38,0.0,37
Trunking for new office,Brittany Duffy,03-04-2013 15:05,05-Apr-13,05-May-13,1561.98,1561.98,0.0,46
Trunking for new office,Brittany Duffy,03-04-2013 15:13,15-Apr-13,15-May-13,1561.98,1561.98,0.0,36
,Brent Cruz,04-04-2013 09:04,04-Apr-13,04-May-13,539.75,539.75,0.0,110
,Robert Patel,04-04-2013 10:45,04-Apr-13,04-May-13,1078.81,1078.81,0.0,34
Travel to customer,Brittany Duffy,04-04-2013 13:35,09-Apr-13,09-May-13,36615.78,36615.78,0.0,65
Taxi for Staff,Edwin Owens,06-04-2013 10:10,06-Apr-13,13-Apr-13,172.71,172.71,0.0,37
Stationery ,Dalton Fletcher,06-04-2013 10:18,06-Apr-13,13-Apr-13,66.56,66.56,0.0,16
Fobs ,Amanda Gonzalez,06-04-2013 12:36,06-Apr-13,13-Apr-13,60.26,60.26,0.0,16
,Rhonda Walker,08-04-2013 14:58,08-Apr-13,22-Apr-13,413.77,413.77,0.0,42
,Madison Williams,10-04-2013 07:17,10-Apr-13,24-Apr-13,70.38,70.38,0.0,68
Travel to customer,Brittany Duffy,11-04-2013 11:17,15-Apr-13,15-May-13,15289.28,15289.28,0.0,65
,Mary Porter,14-04-2013 09:24,14-Apr-13,14-May-13,3601.98,3601.98,0.0,63
,Rhonda Walker,15-04-2013 10:22,12-Apr-13,26-Apr-13,226.12,226.12,0.0,38
,Paige Garcia,15-04-2013 13:08,12-Apr-13,26-Apr-13,318.3,318.3,0.0,38
,Paige Garcia,15-04-2013 13:17,12-Apr-13,26-Apr-13,244.98,244.98,0.0,38
,James Decker,15-04-2013 15:50,01-Apr-13,01-May-13,932.64,932.64,0.0,14
,Todd Valencia,15-04-2013 21:59,25-Jan-13,24-Feb-13,172.55,172.55,0.0,80
,Alexa Huber,16-04-2013 21:00,16-Apr-13,16-May-13,3835.98,3835.98,0.0,8
,Colleen Sparks,17-04-2013 08:02,18-Apr-13,02-May-13,126.98,126.98,0.0,50
,Melissa Anderson,18-04-2013 11:47,18-Apr-13,18-May-13,121.98,121.98,0.0,36
,Kyle Jackson,18-04-2013 14:23,18-Apr-13,18-May-13,151.98,151.98,0.0,14
,Madison Williams,19-04-2013 10:35,19-Apr-13,03-May-13,71.58,71.58,0.0,84
,Debra Wright,20-04-2013 17:27,20-Apr-13,20-May-13,57.18,57.18,0.0,26
,Paige Garcia,22-04-2013 13:02,19-Apr-13,03-May-13,199.74,199.74,0.0,41
Workbench Light,Eric Fitzgerald,22-04-2013 19:40,22-Apr-13,29-Apr-13,251.98,251.98,0.0,14
,Madison Williams,22-04-2013 19:42,22-Apr-13,06-May-13,382.38,382.38,0.0,64
,Heather Hardy,29-04-2013 12:10,29-Apr-13,29-May-13,329.82,329.82,0.0,43
,Paige Garcia,29-04-2013 12:57,26-Apr-13,10-May-13,347.58,347.58,0.0,45
,Andrew Serrano,29-04-2013 15:46,29-Apr-13,29-May-13,1201.98,1201.98,0.0,49
Travel to customer,Christina Summers,01-05-2013 12:07,01-May-13,31-May-13,241.98,241.98,0.0,47
,Wesley Smith,05-05-2013 12:10,05-May-13,15-May-13,39.66,39.66,0.0,35
New flooring tiles x 10,Dalton Fletcher,06-05-2013 20:01,06-May-13,13-May-13,80.97,80.97,0.0,16
Delivery ,Allison Sheppard,06-05-2013 20:31,06-May-13,13-May-13,122.65,122.65,0.0,16
,Paige Garcia,07-05-2013 18:13,03-May-13,17-May-13,667.26,667.26,0.0,38
,Paige Garcia,07-05-2013 18:28,03-May-13,17-May-13,193.98,193.98,0.0,38
,Louis Ramos,09-05-2013 11:38,09-May-13,19-May-13,181.98,181.98,0.0,41
,Rachel Sheppard,09-05-2013 12:12,09-May-13,08-Jun-13,151.98,151.98,0.0,46
,Paige Garcia,13-05-2013 11:33,10-May-13,24-May-13,141.18,141.18,0.0,63
,James Harris,14-05-2013 08:52,14-May-13,31-May-13,453.38,453.38,0.0,104
,Shelly Williams,16-05-2013 11:50,16-May-13,15-Jun-13,151.98,151.98,0.0,32
Travel to customer,Christina Summers,16-05-2013 13:18,16-May-13,15-Jun-13,241.98,241.98,0.0,42
,Debra Wright,16-05-2013 20:22,13-May-13,12-Jun-13,232.38,232.38,0.0,68
,Angela Maldonado,17-05-2013 11:31,17-May-13,31-May-13,77.58,77.58,0.0,42
,James Harris,18-05-2013 11:16,18-May-13,17-Jun-13,739.98,739.98,0.0,100
,Alyssa Shepard,18-05-2013 19:33,27-Mar-13,03-Apr-13,283.98,253.98,30.0,53
,Shane Nelson,18-05-2013 19:41,02-Apr-13,09-Apr-13,127.98,127.98,0.0,47
,Alexander Payne,18-05-2013 19:49,04-Apr-13,11-Apr-13,6601.98,6601.98,0.0,64
,Thomas Martin,19-05-2013 12:31,19-May-13,26-May-13,36.78,36.78,0.0,9
,Brandon White,20-05-2013 12:54,20-May-13,19-Jun-13,151.98,151.98,0.0,11
,Timothy Roberts,20-05-2013 19:30,29-Apr-13,06-May-13,1801.97,1801.97,0.0,21
,Alexa Huber,21-05-2013 21:00,21-May-13,20-Jun-13,3471.48,3471.48,0.0,16
,Joseph Sullivan,22-05-2013 09:26,17-May-13,31-May-13,1218.36,1218.36,0.0,38
,Paige Garcia,22-05-2013 09:44,17-May-13,31-May-13,388.98,388.98,0.0,56
Tyne Tunnel Permits x 2,Dalton Fletcher,22-05-2013 15:14,22-May-13,29-May-13,401.98,401.98,0.0,6
Drinks,Heather Evans,22-05-2013 15:21,22-May-13,29-May-13,451.98,451.98,0.0,15
,Phillip Roberts,25-05-2013 19:29,15-Apr-13,14-Jun-13,303.08,303.08,0.0,116
,Melissa Wiley,27-05-2013 23:37,28-Jun-13,28-Jul-13,351.98,351.98,0.0,43
,Terry Weaver,28-05-2013 08:59,28-May-13,11-Jun-13,923.98,923.98,0.0,58
,Alexa Huber,29-05-2013 21:32,29-May-13,28-Jun-13,9420.48,9420.48,0.0,8
,Paige Garcia,30-05-2013 09:51,24-May-13,07-Jun-13,256.38,256.38,0.0,49
,Kellie Mcdaniel,30-05-2013 10:58,24-May-13,07-Jun-13,137.58,137.58,0.0,26
,Jennifer Owen,05-06-2013 10:53,05-Jun-13,15-Jun-13,349.98,349.98,0.0,68
Delivery,Brandi Smith,07-06-2013 13:33,07-Jun-13,14-Jun-13,1273.98,1273.98,0.0,10
,Paige Garcia,12-06-2013 04:54,07-Jun-13,21-Jun-13,32.22,32.22,0.0,35
,Paige Garcia,12-06-2013 05:14,07-Jun-13,21-Jun-13,397.14,397.14,0.0,35
,Richard Mcintyre,12-06-2013 05:25,07-Jun-13,21-Jun-13,695.1,695.1,0.0,42
,Danny Patterson,16-06-2013 04:22,16-Jun-13,23-Jun-13,121.98,121.98,0.0,28
,Jonathan Spencer,16-06-2013 11:47,16-Jun-13,23-Jun-13,241.98,201.98,40.0,25
,Herbert Lamb,17-06-2013 08:38,17-Jun-13,17-Jul-13,284.7,284.7,0.0,67
,Paige Garcia,19-06-2013 03:59,14-Jun-13,28-Jun-13,54.78,54.78,0.0,29
,Eric Wilson,20-06-2013 14:47,20-Jun-13,30-Jun-13,649.98,649.98,0.0,28
Lunch,Dalton Fletcher,21-06-2013 09:40,21-Jun-13,28-Jun-13,401.98,401.98,0.0,10
,Kellie Mcdaniel,24-06-2013 09:16,21-Jun-13,05-Jul-13,157.38,157.38,0.0,24
,Chad Lopez,24-06-2013 18:05,24-Jun-13,03-Jul-13,61.98,61.98,0.0,9
,Emily Martin,24-06-2013 18:08,24-Jun-13,03-Jul-13,61.98,61.98,0.0,2
Travel to customer,Mr. William Bartlett,25-06-2013 09:28,25-Jun-13,25-Jul-13,63153.2,63153.2,0.0,15
,Alexa Huber,25-06-2013 10:40,25-Jun-13,25-Jul-13,2782.98,2782.98,0.0,15
,Alexa Huber,25-06-2013 10:48,25-Jun-13,25-Jul-13,2121.48,2121.48,0.0,15
,Alexa Huber,25-06-2013 12:14,25-Jun-13,25-Jul-13,2512.98,2512.98,0.0,15
,Tracy Wagner,25-06-2013 13:54,25-Jun-13,03-Jul-13,121.98,121.98,0.0,8
,Phillip Roberts,25-06-2013 23:10,28-Jun-13,28-Jul-13,404.93,404.93,0.0,65
,Daniel Davidson,26-06-2013 15:10,26-Jun-13,26-Jul-13,301.98,301.98,0.0,30
,Shawn Walker,27-06-2013 12:37,27-Jun-13,07-Jul-13,31.98,31.98,0.0,62
,Paige Garcia,03-07-2013 04:52,28-Jun-13,12-Jul-13,477.18,477.18,0.0,31
,Kellie Mcdaniel,03-07-2013 05:30,28-Jun-13,12-Jul-13,174.78,174.78,0.0,17
Travel to customer,Mr. William Bartlett,03-07-2013 10:00,03-Jul-13,12-Jul-13,34201.98,34201.98,0.0,16
Travel to customer,Mr. William Bartlett,03-07-2013 10:04,03-Jul-13,12-Jul-13,451.98,451.98,0.0,16
,Rhonda Walker,03-07-2013 10:15,28-Jun-13,12-Jul-13,139.86,139.86,0.0,31
,Brandon Haynes,03-07-2013 10:31,28-Jun-13,12-Jul-13,413.46,413.46,0.0,60
,Andrea Flores,05-07-2013 15:05,01-Jul-13,31-Jul-13,2853.91,2853.91,0.0,75
,Andrea Flores,05-07-2013 15:13,05-Jul-13,04-Aug-13,832.28,832.28,0.0,26
,Ruth Kelly,05-07-2013 15:26,30-May-13,29-Jun-13,14971.98,2001.98,12970.0,46
,Ruth Kelly,05-07-2013 15:26,30-May-13,29-Jun-13,14971.98,1001.98,13970.0,46
Food & Drink,Allison Sheppard,06-07-2013 11:42,06-Jul-13,13-Jul-13,86.25,86.25,0.0,60
,Alexa Huber,08-07-2013 07:46,08-Jul-13,07-Aug-13,851.98,851.98,0.0,106
,Alexa Huber,08-07-2013 07:56,08-Jul-13,07-Aug-13,838.98,838.98,0.0,107
,Alexa Huber,08-07-2013 08:26,08-Jul-13,07-Aug-13,7764.48,6211.98,1552.5,113
,Laura Martin,08-07-2013 15:24,07-Jun-13,07-Jul-13,930.78,930.78,0.0,38
,Heather Sullivan,09-07-2013 09:18,10-Jun-13,10-Jul-13,3592.38,3592.38,0.0,35
,Rebecca Mcdonald,09-07-2013 11:24,09-Jul-13,08-Aug-13,612.28,612.28,0.0,6
,William Baker,09-07-2013 15:07,11-Jun-13,11-Jul-13,10001.98,10001.98,0.0,34
,Ruth Kelly,09-07-2013 15:40,11-Jun-13,11-Jul-13,1301.98,1301.98,0.0,34
,Thomas Vang,10-07-2013 10:37,25-Jun-13,25-Jul-13,138.78,138.78,0.0,20
,Heather Sullivan,10-07-2013 10:46,26-Jun-13,26-Jul-13,3076.7,3076.7,0.0,19
,Maureen Bullock,10-07-2013 10:49,10-Jul-13,20-Jul-13,61.98,61.98,0.0,68
,Rebecca Mcdonald,10-07-2013 11:39,10-Jul-13,09-Aug-13,1047.64,1047.64,0.0,5
,Mary Fitzgerald,11-07-2013 19:35,11-Jul-13,10-Aug-13,121.98,121.98,0.0,49
,Rhonda Walker,15-07-2013 11:28,12-Jul-13,26-Jul-13,202.17,202.17,0.0,47
Office Equipment & Tools,Mr. William Bartlett,16-07-2013 09:59,16-Jul-13,15-Aug-13,14257.98,14257.98,0.0,31
,Paige Garcia,16-07-2013 13:39,12-Jul-13,26-Jul-13,739.2,739.2,0.0,29
Stationery ,Allison Sheppard,16-07-2013 21:24,20-Jul-13,27-Jul-13,101.98,101.98,0.0,46
,Antonio Medina,17-07-2013 09:10,17-Jul-13,27-Jul-13,43.98,43.98,0.0,76
,Paige Garcia,17-07-2013 09:20,12-Jul-13,26-Jul-13,728.28,728.28,0.0,30
Freight,Aaron Thomas,17-07-2013 10:10,12-Jul-13,26-Jul-13,95.58,95.58,0.0,7
,Patrick Franco,18-07-2013 23:16,19-Jul-13,18-Aug-13,151.98,151.98,0.0,28
,Phillip Roberts,21-07-2013 12:58,30-Jun-13,30-Jul-13,104.56,104.56,0.0,63
,Heather Caldwell,21-07-2013 13:05,03-Jul-13,10-Jul-13,154.5,154.5,0.0,54
,Alexa Huber,22-07-2013 11:16,22-Jul-13,21-Aug-13,2364.48,2364.48,0.0,93
,Alexa Huber,22-07-2013 11:29,22-Jul-13,21-Aug-13,1501.98,1501.98,0.0,93
,Alexa Huber,22-07-2013 11:36,22-Jul-13,21-Aug-13,2134.98,2134.98,0.0,93
,Alexa Huber,22-07-2013 11:54,22-Jul-13,21-Aug-13,4240.98,4240.98,0.0,93
Tools / equipment,Christina Summers,22-07-2013 13:42,22-Jul-13,21-Aug-13,241.98,241.98,0.0,43
